transaction_id,timestamp,customer_id,stock_ticker,quantity,average_trade_size,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_price,total_trade_amount,transaction_type,customer_account_type,stock_sector,stock_industry
47.0,2023-01-04,193.0,5.0,409.0,6.013715156042802,2.0,0.0,0.0,High,132.287592694745,54105.62541215071,BUY,Retail,Energy,Oil & Gas
48.0,2023-01-04,2352.0,5.0,288.0,5.662960480135946,2.0,0.0,0.0,High,132.287592694745,38098.82669608656,BUY,Retail,Energy,Oil & Gas
49.0,2023-01-04,4747.0,5.0,218.0,5.284877454181334,2.0,0.0,0.0,High,132.287592694745,28838.69520745441,SELL,Retail,Energy,Oil & Gas
50.0,2023-01-04,1094.0,5.0,823.0,6.71295620067707,2.0,0.0,0.0,High,132.287592694745,108872.68878777511,BUY,Retail,Energy,Oil & Gas
51.0,2023-01-04,193.0,5.0,409.0,6.013715156042802,2.0,0.0,0.0,High,132.287592694745,54105.62541215071,SELL,Retail,Energy,Oil & Gas
52.0,2023-01-04,193.0,5.0,200.0,5.8269730852114,2.0,0.0,0.0,High,132.287592694745,26457.518538949,BUY,Retail,Energy,Oil & Gas
53.0,2023-01-04,3961.0,6.0,288.0,5.662960480135946,2.0,0.0,0.0,Mid,185.1925709726169,53335.46044011367,BUY,Retail,Energy,Oil & Gas
54.0,2023-01-04,4150.0,7.0,26.0,3.258096538021482,2.0,0.0,0.0,High,153.5687720563006,3992.788073463815,BUY,Retail,Energy,Oil & Gas
55.0,2023-01-04,4955.0,8.0,469.0,5.857933154483459,2.0,0.0,0.0,High,199.05491264864767,93356.75403221576,BUY,Retail,Technology,Hardware
56.0,2023-01-04,193.0,8.0,88.0,5.6222108209623896,2.0,0.0,0.0,High,199.05491264864767,17516.832313080995,BUY,Retail,Technology,Hardware
57.0,2023-01-04,192.0,9.0,316.0,5.755742213586912,2.0,0.0,0.0,High,144.473237172213,45653.54294641931,BUY,Retail,Consumer,Retail
58.0,2023-01-04,3018.0,9.0,208.0,5.337538079701318,2.0,0.0,0.0,High,144.473237172213,30050.433331820303,BUY,Retail,Consumer,Retail
59.0,2023-01-04,4647.0,10.0,83.0,4.418840607796598,2.0,0.0,0.0,Mid,65.54159966888932,5439.952772517813,BUY,Retail,Finance,Asset Management
60.0,2023-01-04,4955.0,11.0,200.0,5.768320995793772,2.0,0.0,0.0,High,28.336210512820003,5667.242102564001,SELL,Retail,Technology,Hardware
61.0,2023-01-04,4747.0,11.0,409.0,5.3867860145356445,2.0,0.0,0.0,High,28.336210512820003,11589.510099743382,BUY,Retail,Technology,Hardware
62.0,2023-01-04,4703.0,11.0,75.0,4.31748811353631,2.0,0.0,0.0,High,28.336210512820003,2125.2157884615003,BUY,Retail,Technology,Hardware
63.0,2023-01-04,2105.0,11.0,86.0,4.454347296253507,2.0,0.0,0.0,High,28.336210512820003,2436.9141041025205,BUY,Retail,Technology,Hardware
64.0,2023-01-04,3372.0,11.0,114.0,4.736198448394496,2.0,0.0,0.0,High,28.336210512820003,3230.32799846148,BUY,Retail,Technology,Hardware
65.0,2023-01-04,4747.0,12.0,18.0,5.299666456117333,2.0,0.0,0.0,Mid,157.0222345438498,2826.4002217892967,SELL,Retail,Energy,Utilities
66.0,2023-01-04,3588.0,15.0,8.0,4.102643365036796,2.0,0.0,0.0,Low,79.56589945219858,636.5271956175886,BUY,Retail,Energy,Renewables
67.0,2023-01-04,3938.0,17.0,257.0,5.1149953094204985,2.0,0.0,0.0,Mid,106.0842486565153,27263.65190472444,BUY,Retail,Technology,Software
68.0,2023-01-04,1960.0,17.0,66.0,4.189654742026425,2.0,0.0,0.0,Mid,106.0842486565153,7001.56041133001,BUY,Retail,Technology,Software
69.0,2023-01-04,1712.0,17.0,52.0,3.951243718581428,2.0,0.0,0.0,Mid,106.0842486565153,5516.380930138796,BUY,Institutional,Technology,Software
70.0,2023-01-04,1647.0,17.0,28.0,3.332204510175204,2.0,0.0,0.0,Mid,106.0842486565153,2970.358962382428,BUY,Institutional,Technology,Software
71.0,2023-01-04,637.0,17.0,84.0,4.430816798843313,2.0,0.0,0.0,Mid,106.0842486565153,8911.076887147285,BUY,Retail,Technology,Software
72.0,2023-01-04,3588.0,18.0,48.0,4.031227252906622,2.0,0.0,0.0,Mid,93.99618400690856,4511.816832331611,BUY,Retail,Energy,Oil & Gas
73.0,2023-01-05,193.0,3.0,65.0,5.456175451163617,3.0,0.0,0.0,Low,43.30733100228811,2814.9765151487272,BUY,Retail,Finance,Asset Management
74.0,2023-01-05,3938.0,5.0,152.0,5.097424424168647,3.0,0.0,0.0,High,127.53432227053275,19385.21698512098,SELL,Retail,Energy,Oil & Gas
75.0,2023-01-05,4629.0,5.0,404.0,6.001414877961151,3.0,0.0,0.0,High,127.53432227053275,51523.86619729523,BUY,Retail,Energy,Oil & Gas
76.0,2023-01-05,1185.0,5.0,260.0,5.560681631015528,3.0,0.0,0.0,High,127.53432227053275,33158.923790338515,BUY,Institutional,Energy,Oil & Gas
78.0,2023-01-05,3339.0,6.0,267.0,5.58724865840025,3.0,0.0,0.0,Mid,189.0233412726004,50469.23211978431,BUY,Retail,Energy,Oil & Gas
79.0,2023-01-05,845.0,7.0,38.0,3.6375861597263857,3.0,0.0,0.0,High,155.64289083995064,5914.429851918124,BUY,Retail,Energy,Oil & Gas
80.0,2023-01-05,4747.0,11.0,30.0,5.226176688770354,3.0,0.0,0.0,High,27.706729626787496,831.2018888036249,BUY,Retail,Technology,Hardware
82.0,2023-01-05,3588.0,11.0,83.0,4.143134726391533,3.0,0.0,0.0,High,27.706729626787496,2299.658559023362,SELL,Retail,Technology,Hardware
83.0,2023-01-05,4955.0,11.0,68.0,5.502441184024992,3.0,0.0,0.0,High,27.706729626787496,1884.0576146215496,BUY,Retail,Technology,Hardware
84.0,2023-01-05,1494.0,11.0,498.0,6.210600077024653,3.0,0.0,0.0,High,27.706729626787496,13797.951354140172,BUY,Retail,Technology,Hardware
85.0,2023-01-05,3498.0,11.0,125.0,4.8283137373023015,3.0,0.0,0.0,High,27.706729626787496,3463.341203348437,BUY,Retail,Technology,Hardware
86.0,2023-01-05,4747.0,11.0,240.0,5.24823386638005,3.0,0.0,0.0,High,27.706729626787496,6649.615110428999,BUY,Retail,Technology,Hardware
87.0,2023-01-05,4519.0,12.0,353.0,5.648093568795613,3.0,0.0,0.0,Mid,154.66045973053974,54595.14228488053,BUY,Institutional,Energy,Utilities
88.0,2023-01-05,4747.0,17.0,86.0,5.208337952928512,3.0,0.0,0.0,Mid,104.3115904006844,8970.796774458859,BUY,Retail,Technology,Software
90.0,2023-01-05,3119.0,17.0,235.0,5.459585514144159,3.0,0.0,0.0,Mid,104.3115904006844,24513.22374416084,BUY,Retail,Technology,Software
91.0,2023-01-05,3938.0,17.0,191.0,5.124975372534658,3.0,0.0,0.0,Mid,104.3115904006844,19923.51376653072,BUY,Retail,Technology,Software
92.0,2023-01-05,1407.0,17.0,60.0,4.0943445622221,3.0,0.0,0.0,Mid,104.3115904006844,6258.695424041063,BUY,Retail,Technology,Software
94.0,2023-01-06,295.0,5.0,113.0,4.727387818712341,4.0,0.0,0.0,High,125.3567361879294,14165.311189236025,BUY,Retail,Energy,Oil & Gas
95.0,2023-01-06,4629.0,5.0,175.0,5.66815529701305,4.0,0.0,0.0,High,125.3567361879294,21937.428832887646,SELL,Retail,Energy,Oil & Gas
96.0,2023-01-06,4955.0,5.0,145.0,5.449964916157176,4.0,0.0,0.0,High,125.3567361879294,18176.72674724976,BUY,Retail,Energy,Oil & Gas
98.0,2023-01-06,1185.0,5.0,675.0,6.147399348728742,4.0,0.0,0.0,High,125.3567361879294,84615.79692685234,BUY,Institutional,Energy,Oil & Gas
99.0,2023-01-06,2034.0,5.0,99.0,4.59511985013459,4.0,0.0,0.0,High,125.3567361879294,12410.316882605011,BUY,Retail,Energy,Oil & Gas
100.0,2023-01-06,4493.0,5.0,62.0,4.127134385045092,4.0,0.0,0.0,High,125.3567361879294,7772.1176436516225,BUY,Retail,Energy,Oil & Gas
101.0,2023-01-06,4716.0,8.0,83.0,4.418840607796598,4.0,0.0,0.0,High,203.06815451428216,16854.65682468542,SELL,Retail,Technology,Hardware
103.0,2023-01-06,4955.0,9.0,180.0,5.424465318536048,4.0,0.0,0.0,High,152.41768370661663,27435.183067190992,BUY,Retail,Consumer,Retail
104.0,2023-01-06,1513.0,9.0,27.0,4.812184355372417,4.0,0.0,0.0,High,152.41768370661663,4115.277460078649,BUY,Retail,Consumer,Retail
105.0,2023-01-06,4801.0,10.0,78.0,4.356708826689592,4.0,0.0,0.0,Mid,67.33973175885812,5252.499077190933,BUY,Retail,Finance,Asset Management
106.0,2023-01-06,474.0,11.0,192.0,5.2574953720277815,4.0,0.0,0.0,High,27.283299029964628,5238.393413753209,BUY,Retail,Technology,Hardware
110.0,2023-01-06,1964.0,15.0,74.0,4.30406509320417,4.0,0.0,0.0,Low,80.44342440034522,5952.813405625547,BUY,Retail,Energy,Renewables
111.0,2023-01-06,4747.0,17.0,390.0,5.290033146960339,4.0,0.0,0.0,Mid,109.664183516836,42769.03157156604,BUY,Retail,Technology,Software
112.0,2023-01-06,474.0,17.0,232.0,5.356586274672012,4.0,0.0,0.0,Mid,109.664183516836,25442.09057590596,BUY,Retail,Technology,Software
113.0,2023-01-06,4747.0,17.0,56.0,5.249337184326318,4.0,0.0,0.0,Mid,109.664183516836,6141.194276942816,SELL,Retail,Technology,Software
114.0,2023-01-06,2970.0,18.0,107.0,4.672828834461906,4.0,0.0,0.0,Mid,88.46344792890808,9465.588928393165,BUY,Retail,Energy,Oil & Gas
115.0,2023-01-06,1243.0,19.0,61.0,4.110873864173311,4.0,0.0,0.0,Mid,97.10375741098042,5923.329202069805,BUY,Retail,Energy,Oil & Gas
116.0,2023-01-09,2614.0,2.0,77.0,4.343805421853684,0.0,0.0,0.0,Low,11.316832167907863,871.3960769289055,BUY,Retail,Technology,Software
117.0,2023-01-09,4747.0,5.0,76.0,5.217215765110995,0.0,0.0,0.0,High,130.11487969859573,9888.730857093276,BUY,Retail,Energy,Oil & Gas
118.0,2023-01-09,4747.0,5.0,310.0,5.250701512606374,0.0,0.0,0.0,High,130.11487969859573,40335.61270656467,BUY,Retail,Energy,Oil & Gas
119.0,2023-01-09,193.0,5.0,86.0,5.22805583350737,0.0,0.0,0.0,High,130.11487969859573,11189.879654079232,BUY,Retail,Energy,Oil & Gas
121.0,2023-01-09,3165.0,6.0,119.0,4.77912349311153,0.0,0.0,0.0,Mid,184.9687529709984,22011.28160354881,BUY,Retail,Energy,Oil & Gas
122.0,2023-01-09,2096.0,7.0,1190.0,6.415914955127227,0.0,0.0,0.0,High,154.96590461180088,184409.42648804304,BUY,Institutional,Energy,Oil & Gas
123.0,2023-01-09,4747.0,8.0,1015.0,5.437861893985933,0.0,0.0,0.0,High,205.01424716573064,208089.4608732166,BUY,Retail,Technology,Hardware
124.0,2023-01-09,3588.0,9.0,373.0,4.68213122712422,0.0,0.0,0.0,High,157.72224745480213,58830.3983006412,BUY,Retail,Consumer,Retail
125.0,2023-01-09,2982.0,11.0,345.0,5.84354441703136,0.0,0.0,0.0,High,12.273065736691828,4234.207679158681,BUY,Institutional,Technology,Hardware
126.0,2023-01-09,4747.0,12.0,59.0,5.403487864153576,0.0,0.0,0.0,Mid,157.1485046595915,9271.7617749159,SELL,Retail,Energy,Utilities
127.0,2023-01-09,4955.0,12.0,343.0,5.474369310328396,0.0,0.0,0.0,Mid,157.1485046595915,53901.93709823989,SELL,Retail,Energy,Utilities
128.0,2023-01-09,1513.0,17.0,41.0,4.694370831446394,0.0,0.0,0.0,Mid,106.83663334478032,4380.301967135993,BUY,Retail,Technology,Software
129.0,2023-01-10,4700.0,5.0,213.0,5.3612921657094255,1.0,0.0,0.0,High,139.25019189397148,29660.290873415925,BUY,Institutional,Energy,Oil & Gas
130.0,2023-01-10,3232.0,5.0,214.0,5.365976015021851,1.0,0.0,0.0,High,139.25019189397148,29799.54106530989,BUY,Retail,Energy,Oil & Gas
131.0,2023-01-10,4679.0,5.0,2350.0,7.762170607138205,1.0,0.0,0.0,High,139.25019189397148,327237.950950833,BUY,Retail,Energy,Oil & Gas
132.0,2023-01-10,1157.0,7.0,1001.0,6.155558485627616,1.0,0.0,0.0,High,157.69878333870227,157856.48212204096,BUY,Retail,Energy,Oil & Gas
133.0,2023-01-10,4955.0,11.0,16.0,5.385732828550986,1.0,0.0,0.0,High,26.319029939352017,421.1044790296323,BUY,Retail,Technology,Hardware
134.0,2023-01-10,80.0,11.0,214.0,5.365976015021851,1.0,0.0,0.0,High,26.319029939352017,5632.272407021332,BUY,Retail,Technology,Hardware
135.0,2023-01-10,2426.0,11.0,451.0,6.111467339502679,1.0,0.0,0.0,High,26.319029939352017,11869.88250264776,BUY,Retail,Technology,Hardware
136.0,2023-01-10,3588.0,12.0,27.0,4.568817356522293,1.0,0.0,0.0,Mid,157.3095999446524,4247.359198505615,BUY,Retail,Energy,Utilities
137.0,2023-01-10,1867.0,12.0,14.0,2.6390573296152584,1.0,0.0,0.0,Mid,157.3095999446524,2202.334399225134,BUY,Retail,Energy,Utilities
138.0,2023-01-10,998.0,12.0,240.0,5.480638923341991,1.0,0.0,0.0,Mid,157.3095999446524,37754.30398671658,BUY,Retail,Energy,Utilities
139.0,2023-01-10,2871.0,16.0,53.0,3.970291913552122,1.0,0.0,0.0,Mid,188.4628799464508,9988.532637161894,BUY,Retail,Healthcare,Pharmaceuticals
140.0,2023-01-11,4747.0,5.0,171.0,5.393445711639614,2.0,0.0,0.0,High,136.69626727093512,23375.061703329902,BUY,Retail,Energy,Oil & Gas
141.0,2023-01-11,3938.0,5.0,51.0,5.020123471968565,2.0,0.0,0.0,High,136.69626727093512,6971.509630817692,SELL,Retail,Energy,Oil & Gas
142.0,2023-01-11,4747.0,5.0,258.0,5.400603160088787,2.0,0.0,0.0,High,136.69626727093512,35267.63695590126,SELL,Retail,Energy,Oil & Gas
143.0,2023-01-11,193.0,5.0,179.0,5.22305488204749,2.0,0.0,0.0,High,136.69626727093512,24468.631841497387,SELL,Retail,Energy,Oil & Gas
144.0,2023-01-11,193.0,5.0,47.0,5.136445286621491,2.0,0.0,0.0,High,136.69626727093512,6424.72456173395,BUY,Retail,Energy,Oil & Gas
145.0,2023-01-11,4629.0,5.0,239.0,5.608262272798789,2.0,0.0,0.0,High,136.69626727093512,32670.407877753496,BUY,Retail,Energy,Oil & Gas
146.0,2023-01-11,2946.0,5.0,333.0,5.808142489980444,2.0,0.0,0.0,High,136.69626727093512,45519.8570012214,BUY,Retail,Energy,Oil & Gas
147.0,2023-01-11,4528.0,7.0,185.0,5.220355825078324,2.0,0.0,0.0,High,157.36399186706305,29112.338495406664,BUY,Retail,Energy,Oil & Gas
148.0,2023-01-11,4955.0,7.0,331.0,5.427897212083932,2.0,0.0,0.0,High,157.36399186706305,52087.48130799787,BUY,Retail,Energy,Oil & Gas
149.0,2023-01-11,2871.0,11.0,8.0,3.417726683613366,2.0,0.0,0.0,High,12.273065736691828,98.18452589353464,BUY,Retail,Technology,Hardware
150.0,2023-01-11,4955.0,11.0,182.0,5.412315470601449,2.0,0.0,0.0,High,12.273065736691828,2233.6979640779127,BUY,Retail,Technology,Hardware
151.0,2023-01-11,193.0,11.0,34.0,5.053056009980208,2.0,0.0,0.0,High,12.273065736691828,417.28423504752215,BUY,Retail,Technology,Hardware
152.0,2023-01-11,1185.0,12.0,100.0,5.633896347192034,2.0,0.0,0.0,Mid,156.9350199495176,15693.50199495176,BUY,Institutional,Energy,Utilities
153.0,2023-01-11,4700.0,12.0,225.0,5.389071729816501,2.0,0.0,0.0,Mid,156.9350199495176,35310.37948864146,BUY,Institutional,Energy,Utilities
154.0,2023-01-11,3516.0,15.0,16.0,2.772588722239781,2.0,0.0,0.0,Low,76.83960298510507,1229.4336477616812,BUY,Retail,Energy,Renewables
155.0,2023-01-11,563.0,17.0,71.0,4.262679877041316,2.0,0.0,0.0,Mid,104.9955738233964,7454.685741461144,BUY,Institutional,Technology,Software
156.0,2023-01-11,193.0,17.0,181.0,5.06720464558415,2.0,0.0,0.0,Mid,104.9955738233964,19004.198862034747,BUY,Retail,Technology,Software
157.0,2023-01-11,4327.0,17.0,183.0,5.209486152841421,2.0,0.0,0.0,Mid,104.9955738233964,19214.19000968154,BUY,Retail,Technology,Software
158.0,2023-01-11,1513.0,17.0,66.0,4.636087288622813,2.0,0.0,0.0,Mid,104.9955738233964,6929.707872344163,BUY,Retail,Technology,Software
159.0,2023-01-12,2920.0,2.0,96.0,4.564348191467836,3.0,0.0,0.0,Low,11.138508628632827,1069.2968283487514,BUY,Retail,Technology,Software
160.0,2023-01-12,845.0,5.0,149.0,4.537961436294641,3.0,0.0,0.0,High,141.46921865197703,21078.913579144577,BUY,Retail,Energy,Oil & Gas
161.0,2023-01-12,4240.0,5.0,428.0,6.059123195581797,3.0,0.0,0.0,High,141.46921865197703,60548.82558304617,BUY,Retail,Energy,Oil & Gas
162.0,2023-01-12,3588.0,5.0,479.0,4.971547905388209,3.0,0.0,0.0,High,141.46921865197703,67763.755734297,BUY,Retail,Energy,Oil & Gas
163.0,2023-01-12,2426.0,5.0,693.0,6.349138991379798,3.0,0.0,0.0,High,141.46921865197703,98038.16852582007,BUY,Retail,Energy,Oil & Gas
164.0,2023-01-12,4955.0,8.0,346.0,5.45043741460887,3.0,0.0,0.0,High,224.4396040197656,77656.1029908389,SELL,Retail,Technology,Hardware
165.0,2023-01-12,4023.0,8.0,62.0,4.31748811353631,3.0,0.0,0.0,High,224.4396040197656,13915.255449225468,BUY,Retail,Technology,Hardware
166.0,2023-01-12,1865.0,8.0,210.0,5.3471075307174685,3.0,0.0,0.0,High,224.4396040197656,47132.31684415077,BUY,Retail,Technology,Hardware
167.0,2023-01-12,1438.0,8.0,152.0,5.0238805208462765,3.0,0.0,0.0,High,224.4396040197656,34114.819811004374,BUY,Retail,Technology,Hardware
168.0,2023-01-12,4747.0,8.0,217.0,5.399790335478671,3.0,0.0,0.0,High,224.4396040197656,48703.394072289135,BUY,Retail,Technology,Hardware
169.0,2023-01-12,1006.0,9.0,459.0,6.129050210060545,3.0,0.0,0.0,High,160.13590493701125,73502.38036608817,BUY,Retail,Consumer,Retail
170.0,2023-01-12,3938.0,11.0,213.0,5.069658634545717,3.0,0.0,0.0,High,26.09954751880537,5559.203621505544,BUY,Retail,Technology,Hardware
171.0,2023-01-12,4955.0,11.0,266.0,5.459883342129427,3.0,0.0,0.0,High,26.09954751880537,6942.479640002229,SELL,Retail,Technology,Hardware
172.0,2023-01-12,583.0,11.0,2041.0,7.621195162809845,3.0,0.0,0.0,High,26.09954751880537,53269.17648588176,BUY,Retail,Technology,Hardware
173.0,2023-01-12,3163.0,11.0,127.0,4.844187086458591,3.0,0.0,0.0,High,26.09954751880537,3314.6425348882817,BUY,Retail,Technology,Hardware
174.0,2023-01-12,4747.0,11.0,95.0,5.377590547442544,3.0,0.0,0.0,High,26.09954751880537,2479.45701428651,BUY,Retail,Technology,Hardware
175.0,2023-01-12,3699.0,12.0,119.0,4.77912349311153,3.0,0.0,0.0,Mid,155.04944150007293,18450.88353850868,BUY,Retail,Energy,Utilities
176.0,2023-01-12,3938.0,16.0,258.0,5.136445286621491,3.0,0.0,0.0,Mid,189.0882261771493,48784.76235370452,BUY,Retail,Healthcare,Pharmaceuticals
177.0,2023-01-12,4747.0,16.0,68.0,5.351858133476067,3.0,0.0,0.0,Mid,189.0882261771493,12857.999380046153,BUY,Retail,Healthcare,Pharmaceuticals
178.0,2023-01-12,3772.0,16.0,118.0,4.770684624465665,3.0,0.0,0.0,Mid,189.0882261771493,22312.410688903616,BUY,Retail,Healthcare,Pharmaceuticals
179.0,2023-01-12,227.0,17.0,87.0,4.219507705176107,3.0,0.0,0.0,Mid,100.86255093492294,8775.041931338295,BUY,Retail,Technology,Software
180.0,2023-01-12,4747.0,17.0,224.0,5.354035855304381,3.0,0.0,0.0,Mid,100.86255093492294,22593.211409422736,BUY,Retail,Technology,Software
181.0,2023-01-12,4081.0,17.0,104.0,4.6443908991413725,3.0,0.0,0.0,Mid,100.86255093492294,10489.705297231983,BUY,Retail,Technology,Software
182.0,2023-01-12,4955.0,18.0,124.0,5.429871806288338,3.0,0.0,0.0,Mid,86.26114451652649,10696.381920049284,BUY,Retail,Energy,Oil & Gas
183.0,2023-01-12,3938.0,19.0,45.0,5.060060177423779,3.0,0.0,0.0,Mid,99.93354007425796,4497.009303341609,BUY,Retail,Energy,Oil & Gas
184.0,2023-01-13,1356.0,2.0,24.0,3.1780538303479458,4.0,0.0,0.0,Low,12.12459213489986,290.99021123759667,BUY,Retail,Technology,Software
185.0,2023-01-13,4023.0,4.0,44.0,4.169297415458502,4.0,0.0,0.0,Low,130.57047236030374,5745.100783853364,BUY,Retail,Energy,Renewables
186.0,2023-01-13,3812.0,4.0,96.0,4.564348191467836,4.0,0.0,0.0,Low,130.57047236030374,12534.76534658916,BUY,Institutional,Energy,Renewables
187.0,2023-01-13,193.0,5.0,173.0,5.074673690192145,4.0,0.0,0.0,High,144.5340813187369,25004.396068141483,BUY,Retail,Energy,Oil & Gas
